Location,Latitude,Longitude,Total Incidents
Cedarcroft,39.37134,-76.60982,780
New Southwest/Mount Clare,39,-76.63861,781
Central Park Heights,39,-76.67494,782
Poppleton,39,-76.63245,783
Forest Park,39,-76.68129,784
Guilford,39,-76.61084,785
Loch Raven,39,-76.58231,786
Coldstream Homestead Montebello,39,-76.59543,787
Penn North,39,-76.64277,788
Franklintown,39,-76.70755,789
Coppin Heights/Ash-Co-East,39,-76.65508,790
Towanda-Grantley,39,-76.66339,791
Union Square,39,-76.64374,792
McElderry Park,39,-76.58357,793
Rosemont,39,-76.66721,794
Rosemont,39,-76.66721,795
Rosemont,39,-76.66721,796
Lakeland,39,-76.64276,797
Lakeland,39,-76.64276,798
Mid-Govans,39,-76.60695,799
Poppleton,39,-76.63674,800
